,,,,,,,,,,,,
Value:,5,,Hue Prefixes,,,,,,,,,
Hue:,5.0,,R,YR,Y,GY,G,BG,B,PB,P,RP
,Chroma,2,"141,116,121","141,116,111","133,120,103","121,124,107","108,126,121","104,126,130","107,124,138","119,121,141","130,118,138","138,116,129"
,,4,"158,109,114","155,112,93","140,120,77","117,126,85","89,130,114","80,130,132","85,128,149","111,121,155","135,114,149","151,110,130"
,,6,"172,103,106","167,108,74","145,119,48","113,129,61","66,135,109","45,134,135","53,131,161","101,122,169","141,111,160","164,104,132"
,,8,"185,95,99","177,104,54","149,118,10","109,131,30","19,138,103","0,138,139","0,133,173","88,122,183","146,106,170","177,96,135"
,,10,"198,86,91","184,100,31","151,118,0","105,132,0","0,142,99","0,142,142","0,136,185","72,122,198","152,102,180","188,88,137"
,,12,"210,75,84","190,97,0","153,118,0","102,133,0","0,145,95","0,145,145","0,139,198","46,123,212","157,97,190","199,78,139"
,,14,"220,63,78","194,94,0",,,"0,148,92","0,148,148","0,141,210","0,123,226","163,91,199","209,66,142"
,,16,"232,45,71",,,,"0,150,90","0,150,151","0,144,223","0,123,243","168,85,209","219,50,144"
,,18,"242,2,65",,,,"0,152,88","0,153,154",,"0,123,255","174,77,218","229,25,147"
,,20,"252,0,60",,,,"0,154,86","0,155,157",,,"180,68,228","239,0,150"
,,22,,,,,"0,155,85","0,156,159",,,"186,56,237","248,0,153"
,,24,,,,,"0,157,83",,,,"193,38,247","255,0,156"
,,26,,,,,"0,158,82",,,,"199,0,255",
,,28,,,,,"0,160,82",,,,"206,0,255",
,,30,,,,,,,,,,
,,32,,,,,,,,,,
,,34,,,,,,,,,,
,,36,,,,,,,,,,
,,38,,,,,,,,,,