,G,5.0G,,,,,,,,,
Hue Prefix:,Green,,Value,,,,,,,,
Hue:,5.0,,1,2,3,4,5,6,7,8,9
,Chroma,2,"19,31,27","40,52,48","60,75,70","84,100,95","108,126,121","133,152,146","158,178,173","184,205,199","210,232,226"
,,4,"0,35,23","21,55,44","40,79,65","63,105,89","89,130,114","113,157,139","139,183,166","165,210,192","189,238,218"
,,6,"0,38,20","0,58,40","0,83,61","33,109,84","66,135,109","91,161,133","119,188,160","142,215,184","163,244,209"
,,8,"0,41,18","0,61,38","0,85,58","0,112,79","19,138,103","62,165,128","93,192,154","117,220,178","137,249,203"
,,10,,"0,63,35","0,88,55","0,115,76","0,142,99","0,169,124","51,196,148","83,224,172","105,253,197"
,,12,,"0,65,34","0,90,53","0,118,73","0,145,95","0,172,119","0,199,143","0,228,167","46,255,191"
,,14,,"0,66,33","0,92,51","0,120,70","0,148,92","0,175,115","0,203,138","0,231,162",
,,16,,"0,68,32","0,93,50","0,122,69","0,150,90","0,178,112","0,206,135","0,234,158",
,,18,,,"0,94,49","0,123,67","0,152,88","0,180,110","0,209,132","0,237,154",
,,20,,,"0,96,48","0,125,66","0,154,86","0,183,107","0,211,129","0,240,151",
,,22,,,"0,97,47","0,126,65","0,155,85","0,185,105","0,214,126","0,243,148",
,,24,,,,"0,127,65","0,157,83","0,187,103","0,216,124",,
,,26,,,,"0,128,64","0,158,82","0,188,102","0,217,123",,
,,28,,,,,"0,160,82","0,190,101",,,
,,30,,,,,,,,,
,,32,,,,,,,,,
,,34,,,,,,,,,
,,36,,,,,,,,,
,,38,,,,,,,,,